Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US46,46,South Dakota,855444,,825543,195,707282,394,14292,661,71127,888,11639,522,329,113,554,289,20320,1089,158,83,20162,1081,29901,194,17148,892,406,156,2935,406,54,28,52,33,6133,840,3173,457,1273,366,1900,297
0400000US47,47,Tennessee,6597381,,6257318,243,4898888,1126,1099118,2248,15064,788,109828,1624,3358,480,8201,1108,122861,2932,3139,615,119722,2890,340063,243,232898,4238,8274,1249,2504,562,777,219,426,222,80544,3470,14640,1488,8293,939,6347,1071
0400000US48,48,Texas,27419612,,16745703,191,11755493,1988,3199022,5945,65883,1772,1222975,3785,20170,1049,39153,2487,443007,7714,20992,1752,422015,7448,10673909,191,8704032,21340,87928,4663,64477,3482,13877,1108,3361,595,1541240,17751,258994,7615,128399,5741,130595,4434
0400000US49,49,Utah,2993941,,2584630,,2365205,883,31714,1009,28210,1006,66594,1183,26216,1151,4662,876,62029,2183,1868,430,60161,2166,409311,,234872,4066,1905,438,3869,672,951,276,526,164,145934,4016,21254,1483,12663,1151,8591,1059
0400000US50,50,Vermont,624636,,613453,,582404,155,7534,331,1852,273,9638,403,157,77,736,211,11132,547,196,71,10936,534,11183,,8095,334,387,110,220,115,42,39,49,49,1461,274,929,219,222,77,707,207
0400000US51,51,Virginia,8365952,,7616494,582,5238967,1377,1576081,3591,17533,945,516080,2670,4609,373,20582,1644,242642,4641,7874,901,234768,4549,749458,582,481242,6107,29366,2102,4966,849,4039,593,860,232,179683,6110,49302,2558,22684,1654,26618,1932
0400000US53,53,Washington,7169967,,6287859,,5001482,1097,251603,2922,79825,1442,573457,3318,44465,989,10627,1183,326400,4290,5705,825,320695,4341,882108,,499355,7419,10140,1276,14929,1489,5365,754,1606,358,282380,7442,68333,2677,30301,1862,38032,1955
0400000US54,54,West Virginia,1836843,,1809822,553,1694887,889,64414,1238,3177,506,13858,536,498,190,3062,805,29926,1412,755,249,29171,1409,27021,553,19704,948,886,312,145,83,238,155,43,41,4131,621,1874,342,957,264,917,267
0400000US55,55,Wisconsin,5763217,,5382627,,4715129,651,359094,1985,45947,964,151358,1232,1520,344,4483,610,105096,2512,2894,476,102202,2525,380590,,235448,3525,6790,781,4147,521,967,214,291,102,106952,3670,25995,1723,13137,1348,12858,1201
0400000US56,56,Wyoming,583200,,526519,202,491626,210,5791,593,11976,571,4915,396,373,239,208,155,11630,849,231,119,11399,833,56681,202,40768,1167,330,159,1573,521,187,134,97,110,10039,1132,3687,498,1882,407,1805,382
0400000US72,72,Puerto Rico,3468963,,36352,2146,26416,1862,2720,476,84,54,2225,650,55,34,1961,462,2891,506,134,92,2757,488,3432611,2146,2363030,10241,336219,6512,10765,1252,5564,765,81,58,509824,7828,207128,6114,18567,1142,188561,6051
